From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
333;4559;sea;1300;-1;-1;-1;-1;Majorca-Minorca
4560;333;sea;1295;-1;-1;-1;-1;Ibiza-Majorca
366;4565;sea;1471;-1;-1;-1;-1;Canaries
6;12;sea;1258;-1;-1;-1;-1;Sk?ne-Sjaelland
12;14;sea;1258;-1;-1;-1;-1;Sjaelland-Fyn
14;4142;sea;1258;-1;-1;-1;-1;Fyn-Aarhus
14;4149;sea;1258;-1;-1;-1;-1;Fyn-Kolding
14;1983;sea;1258;-1;-1;-1;-1;Fyn-Lolland
12;1983;sea;1258;-1;-1;-1;-1;Sjaelland-Lolland
123;124;sea;1307;-1;-1;-1;-1;Calabria-Messina
151;316;sea;1320;-1;-1;-1;-1;Thrace-Bithynia
911;945;sea;1662;-1;-1;-1;-1;Menominee-Michigan
1;1930;sea;1928;-1;-1;-1;-1;Stockholm-?land
1930;27;sea;1253;-1;-1;-1;-1;?land-Finland
142;144;sea;1311;-1;-1;-1;-1;Janina-Corfu
6682;1773;sea;1312;-1;-1;-1;-1;Janina-Achaea
146;164;sea;1319;-1;-1;-1;-1;Athens-Naxos
4779;2296;sea;1320;-1;-1;-1;-1;Gallipoli-Biga
6831;253;sea;1283;-1;-1;-1;-1;Sutherland-Western Isles
4364;253;sea;1283;-1;-1;-1;-1;Inner Hebrides-Outer Hebrides
4364;6831;sea;1283;-1;-1;-1;-1;Inner Hebrides-Sutherland
4364;4363;sea;1283;-1;-1;-1;-1;Inner Hebrides-Argyll
4110;369;sea;1282;-1;-1;-1;-1;Sutherland-Orkney
97;100;sea;1269;-1;-1;-1;-1;Holland-Friesland
96;1865;sea;1269;-1;-1;-1;-1;Zeeland-Gent
1017;1818;sea;1390;-1;-1;-1;-1;Suo-Chikuzen
1014;4186;sea;1390;-1;-1;-1;-1;Bungo-Iyo
4186;1017;sea;1390;-1;-1;-1;-1;Aki-Iyo
2159;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
6618;35;sea;1926;-1;-1;-1;-1;Estland-?sel
35;39;sea;1256;-1;-1;-1;-1;?sel-Kurland
597;620;sea;1361;-1;-1;-1;-1;Johor-Siak
659;2677;sea;1361;-1;-1;-1;-1;Riau-Palembang
972;874;sea;1558;-1;-1;-1;-1;Nootka-Salish
972;973;sea;1558;-1;-1;-1;-1;Nootka-Squamish
972;974;sea;1558;-1;-1;-1;-1;Nootka-Kwakiutl
2569;982;sea;1491;-1;-1;-1;-1;Acadia-Unamakik
984;983;sea;1491;-1;-1;-1;-1;Acadia-Epekwitk
997;981;sea;1493;-1;-1;-1;-1;Chisedek-Taqamkuk
1050;4658;sea;1379;-1;-1;-1;-1;Deren-Nanghaer
1215;387;sea;1330;-1;-1;-1;-1;Tajura-Mocha
112;1774;sea;1308;-1;-1;-1;-1;Venice-Treviso
112;111;sea;1308;-1;-1;-1;-1;Venice-Friuli
112;4729;sea;1308;-1;-1;-1;-1;Venice
54;4141;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
1820;1021;sea;1391;-1;-1;-1;-1;Awa-Settsu
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
1247;127;sea;1298;-1;-1;-1;-1;Corsica-Sardinia
394;396;sea;4347;-1;-1;-1;-1;Al Hasa-Bahrain
395;396;sea;4347;-1;-1;-1;-1;Qatar-Bahrain
4354;4351;sea;4357;-1;-1;-1;-1;Zamboanga-Buglas
654;2699;sea;1397;-1;-1;-1;-1;Samar-Bikol
648;649;sea;1400;-1;-1;-1;-1;Halmahera-Ternate
648;650;sea;1400;-1;-1;-1;-1;Halmahera-Tidore
1268;1258;canal;1775;-1;-1;-1;-1;kiel_canal
1548;1515;canal;835;-1;-1;-1;-1;panama_canal
1328;1316;canal;4316;-1;-1;-1;-1;suez_canal
2348;318;sea;1319;-1;-1;-1;-1;Chios-Sugla
4700;2296;sea;1319;-1;-1;-1;-1;Lesbos-Biga
285;2447;sea;1323;-1;-1;-1;-1;Kaffa-Mapa
